País,Year,Incidente,Detalles
 Bulgaria,2012,Atentado terrorista en el aeropuerto de Burgas,"Un autobús que se encontraba en el estacionamiento del aeropuerto de Burgas, con un contingente de turistas israelíes, fue estallado por un terrorista suicida. La explosión mató a cinco israelíes y a dos búlgaros —el conductor de bus y la guía de turismo— e hirió a otros treinta pasajeros israelíes, tres de los cuales en estado crítico, y otros dos rusos que se encontraban en las inmediaciones."
 Pakistán,2012,Atentado en Spen Khawri de 2012,"Hecho sucedido en la frontera de los distritos de Kurrum y Orakzai (Área noroccidental de Pakistán), considerados puerto seguro de milicianos vinculados a Al Qaeda. Murieron 10 personas y quedaron 25 heridos."
 Estados Unidos,2012,Tiroteo en templo sij de Wisconsin en 2012,"Un tiroteo masivo tuvo lugar en un templo sij situado en Oak Creek, Wisconsin , Estados Unidos. Un hombre armado abrió fuego matando a seis personas e hiriendo al menos a otras tres. Siete personas murieron en el lugar, incluyendo el hombre armado. Los demás fueron trasladados a un hospital local."
 Líbano,2012,Atentado en Beirut de 2012,"Un ataque con un coche bomba en la capital de Líbano, cobró la vida de 8 personas, entre ellas la del jefe de la inteligencia policial del país, Wissam al-Hassan, además de dejar a alrededor de 110 heridas. Muchos políticos libaneses, entre ellos el ex primer ministro Saad Hariri, acusaron al presidente sirio Bashar al-Assad de estar detrás del asesinato."
 Estados Unidos,2012,Masacre de la Escuela Primaria de Sandy Hook,"Ocurrió en la escuela primaria de la localidad de Sandy Hook (Sandy Hook Elementary School) de Newtown, Connecticut, Estados Unidos. Al momento habrían identificado 27 personas fallecidas, de las cuales al menos 18 serían niños, y 9 adultos.
El perpetrador sería un hombre de unos 20 años, quien fue encontrado muerto en la escuela."
 Pakistán,2013,Atentados del 10 de enero de 2013 en Pakistán,"Se producen varios atentados terroristas suicidas en las ciudades de Quetta y Mingora, en la provincia de Baluchistán. Los atentados dejaron un balance de 130 muertos y 270 heridos."
 Turquía  Estados Unidos,2013,Atentado a la embajada de Estados Unidos en Ankara de 2013,"Un hombre se inmola en la embajada de Estados Unidos en Ankara, la capital de Turquía. Al menos un guardia de seguridad turco murió y un civil resultó herido.
Un grupo terrorista kurdo reivindicó el atentado."
 Estados Unidos,2013,Atentado de la maratón de Boston,"Dos explosiones ocurrieron durante la Maratón de Boston, 3 personas murieron y más de 174 resultaron heridas.
Después de algunos días, se descubrió a los perpetradores."
 Reino Unido,2013,Asesinato de Woolwich de 2013,"Dos yihadistas nigerianos atropellan, disparan y decapitan a un soldado británico en el distrito de Greenwich de Londres. Después del ataque los terroristas empezaron a gritar consignas en árabe por la calle con las manos ensangrentadas mientras los periodistas los grababan. La policía acabó disparando y deteniendo a los terroristas."
 Kenia,2013,Tiroteo y secuestro en el centro comercial Westgate,"Entre 10 y 15 hombres armados atacaron el centro comercial Nakumatt Westgate, en Nairobi, disparando indiscriminadamente contra los civiles, resultando 72 personas.
El ataque fue reivindicado por la milicia somalí islamista Al-Shabbaab en represalia por la Operación Linda Nchi."
 México,2013,"Ataque contra instalaciones eléctricas en el estado de Michoacán, México","Un total de 18 instalaciones de la Comisión Federal de Electricidad en el estado de Michoacán fueron blanco de actos terroristas los cuales fueron perpetrados por la organización criminal de Los Caballeros Templarios. Simultáneamente se reportaron ataques similares en La Piedad, Apatzingán, Tarímbaro Queréndaro y Zinapécuaro. Los ataques causaron apagones afectando a más de 400 mil usuarios en las ciudades ya nombradas además de Zamora, Ciudad Hidalgo y parte de Morelia."
 Rusia,2013,Atentados de Volgogrado de diciembre de 2013,Dos ataques suicidas islamistas tuvieron lugar en la ciudad de Volgogrado. Ambos ataques dejaron un saldo total de 34 muertos y 86 heridos. Entre las víctimas de ambas explosiones se encuentran ciudadanos de cuatro regiones diferentes del país y un ciudadano de Armenia.
 China,2014,Atentado en Kunming de 2014,"En Yunnan, varios hombres armados (aproximadamente 10) todos vestidos de negro, empezaron a atacar a los pasajeros y civiles en una estación de tren, alrededor de 31 personas fallecieron y 130 quedaron heridas.49"
 Nigeria,2014,Atentado de Abuya de 2014,"Dos bombas estallaron en una estación de autobús en Abuya, matando al menos a 88 personas e hiriendo a por lo menos otras 200. Seis días después del ataque, la organización terrorista Boko Haram se hizo responsable. El mismo día en el que ocurrió el atentado, la misma organización terrorista realizó un secuestro masivo en un colegio femenino de Chibok, Borno (noreste de Nigeria)."
 Bélgica,2014,Tiroteo en el Museo Judío de Bélgica,"Un ciudadano francés de origen argelino abre fuego con un kalashnikov en el Museo Judío de Bélgica, en el centro de Bruselas, dejando cuatro muertos. El atacante consiguió huir pero fue arrestado en Marsella. La policía confirmó que el atacante había pasado un año en Siria."
 Chile,2014,Atentado de Santiago de Chile de 2014,"Al menos tres personas hacen explotar un artefacto en un local comercial en el metro de Santiago de Chile, dejando 14 personas heridas, cuatro de gravedad. La presidenta, Michelle Bachelet, tras la explosión, se dirigió a uno de los centros hospitalarios donde fueron trasladados los heridos y convocó a un consejo operativo de seguridad."
 Canadá,2014,Tiroteo en el parlamento canadiense de 2014,Una persona disparó contra un guardia canadiense en el National War Memorial en Confederation Square en Ottawa y luego huyó hacia los edificios cercanos al parlamento desde donde realizó más tiros. Poco después la Policía Montada del Canadá abatió al agresor.
 República Dominicana,2014,Atentado en el metro de Santo Domingo de 2014,"Un sujeto dejó a 35 personas heridas, luego de intentar prenderse fuego dentro de uno de los vagones del Metro de Santo Domingo, República Dominicana.
Es el primer incidente de este tipo en el país caribeño."
 Nigeria,2014,Atentado en la escuela de Potiskum,"Al menos 48 estudiantes murieron y 79 resultaron heridos tras un atentado suicida con bomba en una escuela de la localidad de Potiskum, en el estado de Yobe al norte de Nigeria. El gobierno nigeriano responsabilizó del ataque al grupo islamista Boko Haram"
 Australia,2014,Crisis de rehenes en Sídney de 2014,"Un presunto yihadista irrumpe el 14 de diciembre en una cafetería llamada Lindt, en el centro financiero de Sídney, y obliga a los rehenes a aguantar una Shahada y exige que le traigan una bandera del Estado Islámico y hablar con el primer ministro Tony Abbott, amenazando con que tiene 2 bombas en el interior de la cafetería y 2 en el centro financiero, inmediatamente el consulado de los Estados Unidos queda desalojado por temor a posibles ataques.
En la noche del 15 de diciembre las fuerzas especiales ven que el atacante empieza a disparar y entran por la fuerza y lonabaten, resultando 2 rehenes muertos más el yihadista.
El presunto yihadista era Sheikh Haron, un clérigo iraní refugiado en Australia."
 Pakistán,2014,Ataque en la escuela de Peshawar de 2014,"Un grupo de seis hombres armados ingresó a una escuela de Peshawar, en el noroeste de Pakistán, realizando disparos contra los que se encontraban en ese lugar, poco después de las 12:00 (hora local), un grupo de talibanes vestidos de militares irrumpió en otra escuela localizada al noroccidente de la ciudad.
Hasta el momento se reportan más de 140 personas fallecidas, la mayoría estudiantes. El ataque fue perpetrado por el grupo terrorista pakistaní Tehrik-e Taliban Pakistan que buscan derrocar al gobierno pakistaní."
 Francia,2014,"Atentado de Dijon de 2014
Atentado de Nantes de 2014 Atentado de la estación de policía de Tours de 2014","El 20 de diciembre, un islamista radical comete un apuñalamiento en una estación de policía de Tours dejando tres heridos y la muerte del atacante. El 21 de diciembre, un miembro del Estado Islámico comete una serie de atropellos en Dijon dejando 11 heridos. El 22 de diciembre, otro islamista radical comete un atropello masivo en un mercado de Navidad de Nantes dejando 1 muerto y 11 heridos (incluyendo al atacante)."
 Nigeria,2015,Masacre de Baga de 2015,"El grupo yihadista Boko Haram toma el control de la ciudad de Baga, estado de Borno, al noreste del país. Se cree que los atacantes han dejado entre 150 y 2000 muertos."
 Turquía,2015,Atentado suicida de Estambul de 2015,"Una mujer se hace explotar en una estación de la policía turca en el centro de Estambul, cerca de la Mezquita Azul.
Al menos un policía murió y otro resultó herido. La atacante también falleció."
 Francia,2015,Atentados de enero de 2015 en Francia,"Un grupo de al menos dos hombres armados, miembros de Al-Qaeda, con AK-47 abrieron fuego contra la sede del Charlie Hebdo en París, Francia, realizando disparos contra los que se encontraban en ese lugar y en inmediaciones, aproximadamente a las 11:00 (hora local). Después de abrir fuego, los atacantes se dieron a la fuga. Un día más tarde un miembro del Estado Islámico, Amedy Coulibaly dispara con un AK-47 dejando un policía muerto y otro herido en Montrouge. El día 9, los autores del ataque a Charlie Hebdo fueron abatidos en Dammartin-en-Goële. Por otra parte, Amedy Coulibaly, comete una toma de rehenes en un supermercado judío en Porte de Vincennes dejando cuatro muertos.
Los ataques dejaron un balance de 20 muertos y 22 heridos."
 Dinamarca,2015,Atentados de Copenhague de 2015,"Un sujeto armado abrió fuego contra un seminario y una sinagoga en la ciudad de Copenhague, matando a 3 civiles e hiriendo a 5 agentes de policía. Más tarde el agresor fue abatido cerca de una estación de tren."
 Túnez,2015,Ataque al Museo Nacional del Bardo,"Un grupo de cuatro sujetos armados abrieron fuego contra el Parlamento de Túnez y el Museo del Bardo. Minutos después, los terroristas tomaron rehenes dentro del museo. Más tarde agentes tunecinos abaten a los terroristas.
Se reportan más de 20 personas muertas (19 turistas extranjeros) y varios heridos."
 Kenia,2015,Ataque yihadista en la Universidad de Garissa,"La organización terrorista Al Shabaab, asesina a más de 140 personas (la mayoría estudiantes) y 79 resultan heridas en una universidad en la ciudad de Garissa, en el este de Kenia.
Más de 500 estudiantes fueron tomados como rehenes."
 Estados Unidos,2015,Atentado contra la AFDI en Garland,"Dos sujetos armados relacionados con el grupo terrorista ISIS atacan una exposición de la asociación American Freedom Defense Initiative, (conocida por ser islamófoba), donde realizaban un concurso sobre el profeta musulmán Mahoma, en la ciudad de Garland, en las afueras de Dallas, Texas.
El ataque fue rápidamente repelido por las fuerzas de seguridad y del FBI, acabando con los 2 terroristas.
Este el primer ataque yihadista desde los atentados del 11-S.50"
 Macedonia del Norte,2015,Combate de Kumanovo,"Terroristas islamistas albaneses cometen una serie de enfrentamientos armados en la ciudad de Kumanovo contra las fuerzas de seguridad de la ciudad.
8 policías y 16 terroristas han muerto, 50 personas han resultado heridas y 67 viviendas han sido destruidas.51"
 Estados Unidos,2015,Masacre de la iglesia de Charleston,"Al menos 9 personas pierden la vida luego de suscitarse un tiroteo dentro de una iglesia de la comunidad afroamericana en Charleston, Carolina del Sur. Perpetrado por un joven blanco de 21 años, horas más tarde la policía capturó al atacante. Este crimen desató grandes protestas raciales en el país.
El tiroteo ha sido catalogado como ""ataque racial"".52"
 Francia  Túnez  Kuwait  Somalia  Siria,2015,Ola de ataques terroristas en todo el mundo en junio,"Ola de ataques terroristas:
En Francia un ataque a una fábrica deja una persona muerta y dos heridos; en la playa de Susa, Túnez, un hombre armado abre fuego contra los turistas, matando a 35 personas y dejando heridas a 36. Otras 36 personas resultaron heridas en otro ataque en las instalaciones del hotel Riu Imperial Marhaba. Casi simultáneamente, en Kuwait, un nuevo ataque deja 25 personas muertas y más de 200 heridos en la mezquita de Imam Sadiq. En Somalia, un coche bomba explota en una base militar de la Unión Africana dejando 30 muertos y un número desconocido de heridos. Y en Siria, un ataque suicida deja 164 muertos (20 de ellos, soldados).53"
 Nigeria,2015,Atentados en Nigeria por Boko Haram,"Al menos 97 personas murieron en la aldea de Kukawa, cerca del lago Chad, en el noreste de Nigeria, luego de que un grupo de 50 hombres armados del grupo terrorista Boko Haram abriera fuego contra los fieles que oraban en las mezquitas del pueblo. En los otros ataques, los terroristas llegaron en moto y camionetas a dos aldeas cerca de Monguno, a 90 km al norte de Maiduguri, también en pleno Ramadán.54"
 Colombia,2015,Atentados en Bogotá por el ELN,"En Bogotá, Colombia, explotan dos artefactos en una zona bancaria de la capital y en el Puente Aranda al oeste de la ciudad. Al menos 8 personas han resultado heridas. El gobierno colombiano lo calificó de “ataque terrorista” y responsabilizó a ELN. Temen más ataques de esta organización terrorista.55"
 Estados Unidos,2015,Tiroteo en la Universidad de Maryland,"En la Universidad de Maryland, en Baltimore, EE.UU, dos hombres armados salieron de dos camionetas y comenzaron a disparar a la gente, matando a tres personas y una resultando herida.
Se desconoce el motivo del tiroteo.56"
 Estados Unidos,2015,Atentado en Chattanooga,"Al menos cuatro marines muertos fue el resultado de un ataque en la ciudad de Chattanooga, en el estado de Tennessee, el atacante identificado como Mohammad Youssef Abdulazeez de nacionalidad jordano-estadounidense.
Vinculado con el Estado Islámico fue abatido en un enfrentamiento con las fuerzas armadas.57"
 Turquía,2015,Atentado de Suruç,"Una bomba casera explota en un centro cultural donde se celebraba un míting de una asociación juvenil del Partido Socialista de los Oprimidos, de origen kurdo, en Suruç.
El ataque, que fue reivindicado por el Estado Islámico, dejó 32 muertos y 104 heridos.58"
 Tailandia,2015,Atentado de Bangkok de 2015,"Dos bombas explotan en la ciudad de Bangkok frente a un templo hindú; una de las bombas estaba adosada a un poste de electricidad y otra en una moto, posteriormente la policía desactivó otras dos bombas, una de ellas en un medio de transporte. El gobierno dijo que el objetivo era la economía y turismo del país, el balance de víctimas es de 20 muertos y 125 heridos.
Ningún grupo se ha adjudicado la autoría aún.59
24 horas más tarde se registra otra explosión, que resultó fallida, en un embarcadero de Bangkok, en esta explosión no hubo víctimas.60"
 Francia,2015,Atentado del tren Thalys de 2015,"Un marroquí ataca un tren Thalys que hacia la ruta Ámsterdam-París. El atacante se subió al tren en la Estación Central de Bruselas con un AK-47, una pistola y varios cuchillos. Él salió del lavabo del tren armado, varios minutos más tarde y empezó a disparar contra algunos pasajeros.
El ataque fue repelido por tres pasajeros militares: Alek Skarlatos, Spencer Stone y Anthony Sadler.
Al menos 3 personas resultaron heridas, entre ellos Alek Skarlatos.61"
 Nigeria,2015,Atentado múltiple de Boko Haram en el noreste de Nigeria,"En la ciudad de Maiduguri, capital de Borno, Nigeria, se perpetra un múltiple ataque terrorista cerca del aeropuerto de la localidad.
El gobierno nigeriano acusa y condena al grupo Boko Haram de estos ataques.
Al menos más de 50 personas han muerto y varios heridos.62"
 Yemen,2015,Atentado en la mezquita de Saná,"Al menos 25 personas murieron y varias decenas resultaron heridas en un atentado contra una mezquita en la capital yemenita, Saná, el ataque fue reivindicado por el Estado Islámico.63"
 Turquía,2015,Atentado de Ankara de 2015,"En la ciudad de Ankara, Turquía, se perpetrá un ataque terrorista durante una manifestación en pro de la paz.
Al menos 128 personas murieron y otras 246 resultaron heridas. El gobierno turco sospecha que el ataque pudo haber sido organizado por el grupo armado kurdo PKK.64"
 Egipto  Rusia,2015,Vuelo 9268 de Kogalymavia,Un Airbus A321 que hacia la ruta Sharm el-Sheij-San Petersburgo se precipita en la Península del Sinaí debido a la explosión de una bomba casera a bordo. El avión llevaba un total de 224 personas y no hubo supervivientes. El Estado Islámico reivindicó la tragedia.65
 Líbano,2015,Atentados de Beirut de 2015,"Un doble ataque suicida se produce en la capital de Líbano, Beirut. Al menos 40 personas murieron y 230 resultaron gravemente heridas. El Estado Islámico se adjudicó este ataque.66"
 Francia,2015,Atentados de París de noviembre de 2015,"137 personas murieron (incluyendo a los 7 terroristas) y 415 heridos en varios ataques coordinados en París alrededor de las 22:00 (hora local). Se reportaron al menos 6 explosiones, dos de las explosiones llegaron a escucharse en la transmisión del partido Francia vs Alemania, al menos tres tiroteos y una toma de rehenes en los distritos 10 y 11 de la capital.
Una hora después el presidente de Francia, François Hollande, declaró ""Estado de emergencia"" cerrando todas las fronteras del país.67"
 Malí,2015,Atentado del hotel Radisson Blu de Bamako,"Al menos 27 personas murieron este viernes en Bamako, capital de Malí, luego de que un grupo de hombres armados atacaran en el Hotel Radisson Blu y manteniendo como rehenes a aproximadamente más de 170 personas. El gobierno de Malí informó que grupo yihadista afiliado a Al Qaeda, Al-Mourabioun es el responsable del asalto al hotel. Horas después la policía entra al hotel en un operativo de rescate que terminó con 24 personas muertas (22 rehenes y 2 terroristas).68"
 Egipto,2015,Atentado contra jueces egipcios en un hotel de Al Arish,"Al menos 7 personas, murieron y 14 resultaron heridas luego de un atentado con coche bomba y un ataque de un suicida en un hotel donde se alojaban jueces que participaban en el proceso electoral en la ciudad egipcia de Al Arish, al norte de la península del Sinaí. ISIS se atribuyó este ataque.69"
 Túnez,2015,Atentado terrorista de Túnez de 2015,"En Tunis, ciudad de Túnez, se produce un ataque terrorista en un autobús dejando el saldo de 14 guardias presidenciales muertos.
ISIS se atribuyó el ataque.7071"
 Estados Unidos,2015,Tiroteo de San Bernardino,"Catorce muertos y diecisiete heridos es el saldo de un tiroteo contra un centro regional del interior de San Bernardino, California. Según fuentes oficiales y extraoficiales hablan de tres sujetos fuertemente armados, aún no identificados, que habrían huido en una camioneta de color negro. Hasta el momento se desconoce si pertenecen al grupo terrorista ISIS o si son solo radicales estadounidenses."
 Afganistán  España,2015,Atentado a la embajada de España en Kabul de 2015,"Se produce una explosión suicida en la entrada de la embajada española en Kabul. Más tarde varios terroristas armados abren fuego en el lugar durante más de 13 horas contra militares españoles, americanos y noruegos. Al menos 10 personas han muerto, entre ellas dos policías españoles, y decenas han resultado heridos. El grupo yihadista Talibán reivindicó el atentado en respuesta a las Operaciones militares españolas en Afganistán."
 Siria,2015,Atentado en Homs,"En la ciudad siria de Homs murieron al menos más de 25 personas y 70 resultaron heridas, en el peor atentado terrorista de los últimos 5 años. El ataque se perpetró cerca de un hospital de la ciudad.
El Estado Islámico se adjudicó el atentado72"
 Israel,2016,Tiroteo en Tel Aviv de 2016,"En Tel Aviv, un sujeto armado con un subfusil Spectre M4, abrió fuego contra varios locales matando a 3 personas y dejando a otras 8 gravemente heridas.
El gobierno de Israel cree que el sospechoso es miembro del Estado Islámico."
 India,2016,Ataque terrorista en Pathankot de 2016,"Un grupo de sujetos fuertemente armados atacó la Estación de la Fuerza Aérea de Pathankot.
7 miembros del personal de seguridad murieron en el ataque y 20 más resultaron heridos.
India condenó el ataque y responsabilizó al Estado Islámico."
 Francia,2016,Ataque en París de enero de 2016,"Un sujeto miembro del Estado Islámico atacó a oficiales de policía con un cuchillo cerca de una comisaría en el distrito 18 en el norte de París, Francia, al tiempo que gritaba «Al·lahu-àkbar» («Dios es grande»).
Poco después, el sujeto fue abatido por la policía."
 Libia,2016,Atentado en Zliten de enero de 2016,"Un camión bomba explota en un centro policial en la ciudad de Zliten, Libia. El atentado dejó 65 personas muertas y más de 200 heridos. El Estado Islámico se adjudicó la autoría del hecho. Este es el tercer ataque perpetrado por el grupo terrorista en menos de una semana."
 Irak,2016,Atentados de Irak de enero de 2016,"Seis explosiones suicidas causadas por miembros del Estado Islámico en Bagdad, Miqdadiyah y Sharaban dejan al menos 132 muertos y miles de heridos. Los ataques de Bagdad se produjeron en un centro comercial y un café popular."
 Turquía,2016,Atentado de Estambul de enero de 2016,"En la ciudad de Estambul, Turquía se perpetra un nuevo ataque suicida cerca de la atracción turística la Mezquita Azul, el histórico Hipódromo de Constantinopla. El ataque dejó un saldo de 10 turistas muertos (nueve alemanes y un peruano) y 15 heridos (nueve alemanes, un noruego, un peruano y un surcoreano)."
 Indonesia,2016,Atentados de Yakarta de 2016,"En el centro de Yakarta, Indonesia, se reportaron varias explosiones y disparos en el área céntrica de la ciudad, que es el sitio de muchos hoteles de lujo y edificios consulares.
El gobierno informó de 7 muertos (5 terroristas) y 25 heridos."
 Burkina Faso,2016,Atentado en Uagadugú de 2016,"El hotel Splendid de Uagadugú, Burkina Faso, es atacado por un comando terrorista del grupo Al Qaeda. Al menos murieron 27 personas de 18 nacionalidades diferentes y fueron liberados por las fuerzas armadas de Burkina Faso más de 120 rehenes."
 Pakistán,2016,Atentado en Charsadda de 2016,Un atentado en una universidad pakistaní deja 25 muertos y 60 heridos; la mayor parte de los fallecidos murieron de un disparo en la cabeza.
 Siria,2016,Atentado en Sayyidah Zaynab de 2016,Dos explosiones causadas por dos artefactos explosivos en una mezquita de Damasco deja un balance de 60 muertos y 110 heridos.
 Turquía,2016,Atentado de Ankara de febrero de 2016,"Una explosión suicida perpetrada por un coche bomba al lado de un autobús militar en Ankara deja al menos 29 muertos y 61 heridos.
Los Halcones de la libertad del Kurdistán han reivindicado el atentado en represalia por el papel de Turquía en la Guerra civil siria."
 Costa de Marfil,2016,Atentado de Grand-Bassam,"Un total de 16 muertos y 30 heridos es el resultado de un tiroteo registrado los hoteles ubicados en la turística zona costera de Grand Bassam, a 30 km de Abiyán, la capital de Costa de Marfil. El gobierno del país sospecha que el Estado Islámico es el autor del ataque.
El tiroteo fue catalogado como el peor ataque registrado en la historia del país."
 Turquía,2016,Atentado de Ankara de marzo de 2016,"Un coche bomba explota en la plaza de Kizilay en Ankara, Turquía. El atentado dejó más de 37 muertos y 122 heridos.
Los Halcones de la libertad del Kurdistán han reivindicado el atentado."
 Turquía,2016,Atentado de Estambul de marzo de 2016,"Una explosión suicida en la Avenida de İstiklal, en el centro de Estambul, deja al menos 4 muertos y 36 heridos. El atacante también murió en el acto.
El Estado Islámico reivindicó el atentado."
 Bélgica,2016,Atentados de Bruselas de 2016,"Al menos 34 personas mueren y otras 230 resultan heridas (23 de ellas graves), en una serie de atentados suicidas en dos estaciones de metro cerca de las instituciones de la Unión Europea y en el Aeropuerto de Bruselas. Se trata del peor atentado terrorista de la historia en este país.
El grupo terrorista Estado Islámico ha reivindicado los atentados."
